,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
6057,053634-722657,05:36:34.73,-72:26:57.5,,,,,,,,,,,13.8,1.3,6.85,0.72,,,,,,,,,,,,,-1.38,0.50,2
6058,053817-722458,05:38:17.30,-72:24:58.7,,,,,,,,,,,7.0,1.0,4.98,0.54,,,,,,,,,,,,,-0.67,0.57,2
6059,053904-665202,05:39:04.46,-66:52:01.9,387,97,279,35,226,19,181,16,,,61.3,2.0,41.2,4.1,,,18.8,1.9,,,13.7,1.4,,,,,-0.73,0.15,8
6060,053959-660405,05:39:59.30,-66:04:05.9,,,,,,,,,,,21.1,1.5,15.5,1.6,,,18.7,1.9,,,8.79,0.93,,,,,-0.261,0.076,4
6061,054045-702806,05:40:45.14,-70:28:06.6,,,,,,,,,,,15.3,1.5,9.2,1.1,,,3.12,0.35,,,3.79,0.43,,,,,-0.653,0.094,4
6062,054158-681542,05:41:58.99,-68:15:42.5,,,,,,,,,,,45.8,1.6,43.3,4.3,,,48.9,4.9,,,38.9,3.9,,,,,-0.034,0.046,4
6063,054759-720746,05:47:59.40,-72:07:46.6,,,,,,,,,,,24.6,1.9,15.0,1.5,,,6.78,0.79,,,3.30,0.57,,,,,-0.81,0.10,4
6064,054857-695729,05:48:57.50,-69:57:29.2,,,,,,,,,,,11.5,1.5,11.3,1.6,,,,,,,,,,,,,-0.04,0.79,2
6065,051154-725531,05:11:54.82,-72:55:31.1,,,271,27,239,18,210,15,,,49.3,2.1,17.7,1.8,,,,,,,,,,,,,-1.08,0.15,5
6066,045119-722107,04:51:19.94,-72:21:07.5,1104,52,847,27,703,18,575,14,,,140.7,5.8,85.8,8.6,30.0,6.0,,,,,,,,,,,-0.92,0.13,7
6067,054903-723318,05:49:03.02,-72:33:18.0,,,,,,,,,,,8.4,1.2,6.03,0.63,,,,,,,,,,,,,-0.65,0.61,2
6068,054936-670746,05:49:36.19,-67:07:46.2,,,,,,,,,,,,,4.97,0.54,,,,,,,,,,,,,,,
6069,054950-675728,05:49:50.18,-67:57:28.8,,,,,,,,,,,12.9,2.0,9.9,1.0,,,3.75,0.41,,,1.82,0.27,,,,,-0.83,0.13,4
6070,054952-661913,05:49:52.68,-66:19:13.4,,,,,,,,,,,,,3.40,0.38,,,,,,,,,,,,,,,
6071,055148-715135,05:51:48.67,-71:51:35.6,,,,,,,,,,,,,5.56,0.58,,,2.25,0.29,,,,,,,,,-0.727,0.065,2
6072,055315-684526,05:53:15.86,-68:45:26.6,,,,,,,,,,,22.2,1.1,11.6,1.2,,,,,,,,,,,,,-1.28,0.31,2
6073,055316-681854,05:53:16.80,-68:18:54.4,,,,,,,,,,,,,5.26,0.68,,,,,,,,,,,,,,,
6074,055328-704007,05:53:28.66,-70:40:08.0,,,,,,,,,,,32.7,1.5,27.6,2.8,,,14.0,1.4,,,9.62,0.99,,,,,-0.530,0.056,4
6075,055349-710332,05:53:49.61,-71:03:32.8,,,,,,,,,,,7.0,1.4,4.26,0.48,,,,,,,,,,,,,-0.98,0.78,2
6076,055435-710153,05:54:35.76,-71:01:53.8,,,,,,,,,,,21.4,1.5,21.3,2.1,,,14.8,1.5,,,8.07,0.84,,,,,-0.393,0.074,4
6077,045129-634103,04:51:29.69,-63:41:03.5,,,1388,26,1009,13,812,12,,,307.4,9.3,201,20,49.0,7.0,,,,,,,,,,,-0.85,0.15,6
6078,055546-693338,05:55:46.44,-69:33:38.9,,,,,118,16,106,13,,,53.0,1.8,33.3,3.3,,,,,,,,,,,,,-0.55,0.24,4
6079,055734-685338,05:57:34.18,-68:53:38.7,,,,,,,,,,,34.0,1.2,31.8,3.2,37.0,7.0,,,,,,,,,,,0.06,0.42,3
6080,055810-674817,05:58:10.73,-67:48:17.6,,,,,,,,,,,8.30,0.80,7.51,0.77,,,,,,,,,,,,,-0.20,0.41,2
6081,055829-682437,05:58:29.35,-68:24:37.4,,,,,117,20,94,15,,,33.1,1.2,22.5,2.3,,,,,,,,,,,,,-0.74,0.29,4
6082,055958-685311,05:59:58.68,-68:53:11.4,,,,,,,,,,,11.30,0.80,7.61,0.78,,,,,,,,,,,,,-0.78,0.35,2
6083,060010-674526,06:00:10.30,-67:45:25.9,,,,,,,,,,,10.00,0.90,5.65,0.59,,,,,,,,,,,,,-1.13,0.42,2
6084,060014-694703,06:00:14.18,-69:47:03.1,,,,,,,84,21,,,19.8,1.2,10.8,1.1,,,,,,,,,,,,,-1.05,0.63,3
6085,060030-640858,06:00:30.05,-64:08:58.9,,,,,,,,,,,21.1,1.5,19.4,2.0,,,,,,,,,,,,,-0.16,0.44,2
6086,060234-683042,06:02:34.46,-68:30:42.1,,,,,124,18,88,15,,,52.0,1.7,43.5,4.4,35.0,7.0,,,,,,,,,,,-0.35,0.24,5
6087,060443-651647,06:04:43.68,-65:16:47.3,,,,,71,16,87,16,,,29.6,1.2,22.6,2.3,,,,,,,,,,,,,-0.60,0.34,4
6088,045136-633309,04:51:36.65,-63:33:09.7,,,,,,,,,,,9.6,1.4,3.65,0.41,,,,,,,,,,,,,-1.91,0.66,2
6089,060525-712639,06:05:25.80,-71:26:39.1,,,,,,,,,,,16.2,1.8,5.87,0.62,,,,,,,,,,,,,-2.00,0.62,2
6090,060830-711711,06:08:30.14,-71:17:11.8,,,,,,,,,,,15.5,2.6,8.55,0.92,,,,,,,,,,,,,-1.17,0.92,2
6091,061810-714449,06:18:10.20,-71:44:49.6,,,,,,,,,,,15.2,1.2,12.4,1.3,,,,,,,,,,,,,-0.40,0.43,2
6092,062327-730729,06:23:27.89,-73:07:29.3,,,,,,,,,,,16.0,1.0,10.8,1.1,,,,,,,,,,,,,-0.79,0.35,2
6093,051832-693521,05:18:32.47,-69:35:20.8,,,3562,93,,,1574,26,1040,30,580,18,293,29,,,180,18,202,10,131,13,176.0,9.0,158.0,8.0,-0.624,0.087,8
6094,054150-733215,05:41:50.71,-73:32:16.1,8353,58,6912,32,5928,21,,,3290,110,1810,54,1190,120,883,46,,,602,30,,,487,24,484,23,-0.572,0.065,9
6095,061822-740715,06:18:22.18,-74:07:15.6,,,,,,,,,,,13.4,1.1,13.2,1.3,,,,,,,,,,,,,-0.03,0.66,2
6096,041437-722726,04:14:37.39,-72:27:26.3,,,,,,,,,,,,,3.50,0.42,,,,,,,,,,,,,,,
6097,041739-721901,04:17:39.10,-72:19:01.2,,,,,,,,,,,,,5.38,0.57,,,,,,,,,,,,,,,
6098,045136-704325,04:51:36.65,-70:43:25.0,,,185,38,174,27,,,,,20.5,1.1,14.3,1.5,,,3.15,0.44,,,,,,,,,-1.12,0.22,5
6099,042937-692653,04:29:37.15,-69:26:53.5,,,,,,,,,,,,,2.53,0.31,,,,,,,,,,,,,,,
6100,043219-701956,04:32:19.20,-70:19:56.6,,,,,,,,,,,,,3.26,0.38,,,,,,,,,,,,,,,
6101,043300-713059,04:33:00.00,-71:30:59.4,,,,,,,,,,,,,5.93,0.67,,,,,,,,,,,,,,,
6102,043359-695840,04:33:59.83,-69:58:40.8,,,,,,,,,,,,,2.80,0.33,,,,,,,,,,,,,,,
6103,043429-694910,04:34:29.59,-69:49:10.6,,,,,,,,,,,,,3.56,0.41,,,,,,,,,,,,,,,
6104,043523-690349,04:35:23.04,-69:03:49.7,,,,,,,,,,,,,2.61,0.35,,,,,,,,,,,,,,,
6105,043526-735853,04:35:25.99,-73:58:53.8,,,,,,,,,,,,,5.05,0.64,,,,,,,,,,,,,,,
6106,044149-693808,04:41:49.73,-69:38:08.2,,,,,,,,,,,,,6.75,0.71,,,,,,,,,,,,,,,
6107,044310-735411,04:43:10.01,-73:54:11.2,,,,,,,,,,,,,1.90,0.19,,,,,,,,,,,,,,,
6108,044706-663354,04:47:06.60,-66:33:54.7,,,,,,,,,,,,,4.20,0.48,,,,,,,,,,,,,,,
6109,045136-741320,04:51:36.24,-74:13:20.6,,,,,,,,,,,11.20,0.80,7.59,0.79,,,,,,,,,,,,,-0.77,0.36,2
6110,045109-732839,04:51:09.07,-73:28:39.4,,,,,,,,,,,,,3.73,0.43,,,,,,,,,,,,,,,
6111,045153-633759,04:51:53.62,-63:37:59.2,,,,,,,,,,,,,6.58,0.82,,,,,,,,,,,,,,,
6112,045344-654511,04:53:43.99,-65:45:11.2,,,,,,,,,,,,,2.13,0.22,,,,,,,,,,,,,,,
6113,045712-713927,04:57:12.53,-71:39:27.4,,,,,,,,,,,,,4.23,0.48,,,,,,,,,,,,,,,
6114,045837-673544,04:58:37.75,-67:35:44.5,,,,,,,,,,,,,3.03,0.38,,,7.49,0.77,,,5.31,0.59,,,,,0.373,0.062,3
6115,050051-633207,05:00:51.34,-63:32:07.1,,,,,,,,,,,,,2.81,0.29,,,,,,,,,,,,,,,
6116,050319-652056,05:03:19.87,-65:20:56.8,,,,,,,,,,,,,2.01,0.21,,,,,,,,,,,,,,,
6117,050410-652834,05:04:10.51,-65:28:34.7,,,,,,,,,,,,,4.12,0.48,,,,,,,,,,,,,,,
6118,050411-722637,05:04:11.21,-72:26:37.3,,,,,,,,,,,,,1.67,0.17,,,,,,,,,,,,,,,
6119,050742-635711,05:07:42.62,-63:57:11.5,,,,,,,,,,,,,2.39,0.45,,,,,,,,,,,,,,,
6120,045140-630046,04:51:40.51,-63:00:46.8,,,,,,,,,,,11.7,1.1,6.86,0.71,,,,,,,,,,,,,-1.05,0.47,2
6121,050819-635331,05:08:19.66,-63:53:31.2,,,,,,,,,,,,,2.16,0.22,,,,,,,,,,,,,,,
6122,050906-722110,05:09:06.84,-72:21:10.1,,,,,,,,,,,,,2.38,0.24,,,,,,,,,,,,,,,
6123,051509-634605,05:15:09.94,-63:46:05.5,,,,,,,,,,,,,8.06,0.84,,,,,,,,,,,,,,,
6124,051535-720601,05:15:35.76,-72:06:01.8,,,,,,,,,,,,,3.07,0.42,,,,,,,,,,,,,,,
6125,052402-701108,05:24:02.47,-70:11:08.5,,,,,,,,,,,,,2.73,0.28,,,,,,,,,,,,,,,
6126,053335-654156,05:33:35.35,-65:41:56.4,,,,,,,,,,,,,3.36,0.62,,,,,,,,,,,,,,,
6127,053558-671332,05:35:58.32,-67:13:32.9,,,,,,,,,,,,,3.94,0.40,,,,,,,,,,,,,,,
6128,053627-715435,05:36:27.70,-71:54:35.3,,,,,,,,,,,,,3.44,0.39,,,3.24,0.40,,,,,,,,,-0.048,0.089,2
6129,053831-642926,05:38:31.46,-64:29:26.2,,,,,,,,,,,,,3.47,0.42,,,,,,,,,,,,,,,
6130,053912-720149,05:39:12.22,-72:01:49.5,,,,,,,,,,,,,2.84,0.42,,,,,,,,,,,,,,,
6131,045142-653132,04:51:42.82,-65:31:32.9,,,,,,,,,,,10.5,1.2,4.01,0.46,,,,,,,,,,,,,-1.90,0.55,2
6132,054039-704511,05:40:39.38,-70:45:11.5,,,,,,,,,,,,,2.52,0.26,,,,,,,,,,,,,,,
6133,054101-653922,05:41:01.32,-65:39:22.0,,,,,,,,,,,,,2.79,0.45,,,,,,,,,,,,,,,
6134,054618-713152,05:46:18.72,-71:31:52.3,,,,,,,,,,,,,2.46,0.35,,,,,,,,,,,,,,,
6135,054641-652335,05:46:41.90,-65:23:35.1,,,,,,,,,,,,,3.71,0.44,,,,,,,,,,,,,,,
6136,054722-653900,05:47:22.68,-65:39:00.0,,,,,,,,,,,,,2.06,0.21,,,,,,,,,,,,,,,
6137,054846-672019,05:48:46.39,-67:20:19.3,,,,,,,,,,,,,3.67,0.43,,,,,,,,,,,,,,,
6138,055633-710534,05:56:33.07,-71:05:34.5,,,,,,,,,,,,,1.94,0.20,,,,,,,,,,,,,,,
6139,055729-695359,05:57:29.59,-69:54:00.0,,,,,,,,,,,,,2.52,0.34,,,,,,,,,,,,,,,
6140,055815-724635,05:58:15.19,-72:46:35.4,,,,,,,,,,,,,2.59,0.38,,,,,,,,,,,,,,,
6141,055859-691513,05:58:59.69,-69:15:13.0,,,,,,,,,,,,,3.48,0.40,,,,,,,,,,,,,,,
6142,045146-743921,04:51:46.34,-74:39:22.0,,,,,,,,,,,19.4,1.2,,,,,,,,,,,,,,,,,
6143,060019-742229,06:00:19.10,-74:22:29.3,,,,,,,,,,,,,2.93,0.47,,,,,,,,,,,,,,,
6144,060037-694419,06:00:37.08,-69:44:20.0,,,,,,,,,,,,,5.46,0.59,,,,,,,,,,,,,,,
6145,060040-635428,06:00:40.92,-63:54:28.1,,,,,,,,,,,,,4.15,0.47,,,,,,,,,,,,,,,
6146,060044-663959,06:00:44.11,-66:39:59.0,,,,,,,,,,,,,5.89,0.61,,,,,,,,,,,,,,,
6147,060637-704709,06:06:37.46,-70:47:08.9,,,,,,,,,,,,,2.19,0.22,,,,,,,,,,,,,,,
6148,060804-665221,06:08:04.25,-66:52:21.7,,,,,,,,,,,,,3.83,0.45,,,,,,,,,,,,,,,
6149,061058-674236,06:10:58.54,-67:42:36.4,,,,,,,,,,,,,2.64,0.36,,,,,,,,,,,,,,,
6150,061217-730201,06:12:17.30,-73:02:01.7,,,,,,,,,,,,,5.30,0.57,,,,,,,,,,,,,,,
6151,061308-683638,06:13:08.76,-68:36:38.2,,,,,,,,,,,,,3.88,0.47,,,,,,,,,,,,,,,
6152,061412-700521,06:14:12.79,-70:05:21.1,,,,,,,,,,,,,4.18,0.50,,,,,,,,,,,,,,,
6153,045212-671253,04:52:12.43,-67:12:53.3,,,229,47,185,24,115,17,,,25.4,1.4,10.9,1.1,,,,,,,,,,,,,-1.21,0.28,5
6154,061954-714311,06:19:54.24,-71:43:11.6,,,,,,,,,,,,,1.84,0.19,,,,,,,,,,,,,,,
6155,062058-725601,06:20:58.82,-72:56:01.0,,,,,,,,,,,,,4.73,0.52,,,,,,,,,,,,,,,
6156,050607-671314,05:06:07.87,-67:13:14.5,,,,,,,,,,,,,,,,,,,,,4.00,0.52,,,,,,,
6157,054546-710151,05:45:46.25,-71:01:51.2,,,,,,,,,,,,,,,,,1.84,0.22,,,,,,,,,,,
6158,045215-733645,04:52:15.96,-73:36:45.7,,,375,27,303,18,,,,,68.4,2.2,,,,,,,,,,,,,,,-0.88,0.17,3
6159,050227-731622,05:02:27.26,-73:16:22.8,,,184,27,113,14,107,14,,,17.8,1.1,17.0,1.7,,,,,,,,,,,,,-1.01,0.21,5
6160,045218-624214,04:52:18.91,-62:42:14.4,,,,,,,,,,,6.3,1.0,,,,,,,,,,,,,,,,,
6161,045221-643126,04:52:21.91,-64:31:26.4,,,,,,,56,15,,,12.4,1.3,6.88,0.72,,,,,,,,,,,,,-1.08,0.58,3
6162,045228-681729,04:52:28.01,-68:17:29.0,,,,,,,,,,,7.50,0.70,4.64,0.53,,,,,,,,,,,,,-0.95,0.41,2
6163,045230-710810,04:52:30.96,-71:08:11.0,386,82,301,35,262,27,162,18,,,28.9,1.1,15.5,1.6,,,,,,,,,,,,,-1.20,0.25,6
6164,045237-630651,04:52:37.25,-63:06:51.5,,,,,,,,,,,10.7,1.1,6.02,0.63,,,,,,,,,,,,,-1.14,0.49,2
6165,045244-635705,04:52:44.76,-63:57:05.4,,,,,,,,,,,13.5,1.0,8.71,0.90,,,,,,,,,,,,,-0.87,0.39,2
6166,045245-631723,04:52:45.29,-63:17:24.0,409,42,336,23,288,13,233,13,,,49.6,1.7,29.0,2.9,,,,,,,,,,,,,-0.99,0.13,6
6167,045245-710339,04:52:45.26,-71:03:39.6,,,,,,,,,,,7.00,0.70,5.43,0.58,,,1.58,0.29,,,,,,,,,-0.88,0.10,3
6168,045247-644645,04:52:47.62,-64:46:45.1,325,56,228,27,217,24,170,20,,,11.6,1.2,25.6,2.6,,,,,,,,,,,,,-1.15,0.21,6
6169,045249-722836,04:52:49.87,-72:28:36.1,,,,,,,,,,,12.7,1.1,6.13,0.61,,,,,,,,,,,,,-1.44,0.56,2
6170,061211-713040,06:12:11.09,-71:30:40.7,,,172,37,196,19,158,14,,,45.0,3.7,35.0,3.5,24.0,6.0,,,,,,,,,,,-0.62,0.24,6
6171,045301-655658,04:53:01.92,-65:56:58.2,,,,,,,,,,,,,1.74,0.18,,,,,,,,,,,,,,,
6172,045303-734153,04:53:03.50,-73:41:53.9,,,292,27,255,18,183,15,,,25.3,1.0,11.3,1.1,,,,,,,,,,,,,-1.36,0.14,5
6173,045307-691416,04:53:07.20,-69:14:16.8,,,,,,,,,,,,,14.3,1.5,,,,,,,,,,,,,,,
6174,045313-703122,04:53:13.54,-70:31:22.8,,,,,,,80,12,,,32.5,1.3,21.1,2.1,,,4.16,0.46,,,,,,,,,-0.92,0.21,4
6175,045313-731501,04:53:13.01,-73:15:01.8,443,62,359,29,265,20,189,14,,,41.1,1.4,25.1,2.5,,,,,,,,,,,,,-1.07,0.17,6
6176,045317-695238,04:53:17.11,-69:52:39.0,,,,,,,102,26,,,41.6,1.7,28.8,2.9,,,9.4,1.0,,,2.70,0.28,,,,,-0.92,0.27,5
6177,045318-671547,04:53:18.86,-67:15:47.5,,,,,,,,,,,6.4,1.0,3.49,0.35,,,,,,,,,,,,,-1.20,0.57,2
6178,045333-625246,04:53:33.43,-62:52:46.6,452,65,270,25,215,13,195,13,,,53.0,1.9,,,,,,,,,,,,,,,-0.90,0.25,5
6179,045336-743435,04:53:36.46,-74:34:35.4,,,,,,,,,,,6.2,1.0,,,,,,,,,,,,,,,,,
6180,045337-631947,04:53:37.49,-63:19:48.0,,,,,,,,,,,10.4,1.4,5.49,0.59,,,,,,,,,,,,,-1.26,0.64,2
6181,055657-715955,05:56:57.98,-71:59:56.0,433,58,448,25,370,17,335,13,,,103.2,4.8,60.8,6.1,,,20.7,2.1,,,,,,,,,-0.80,0.10,7
6182,045338-702807,04:53:38.76,-70:28:07.7,1428,86,1259,35,1038,20,909,15,,,309,12,143,14,66.0,7.0,64.5,6.5,,,11.8,1.3,,,,,-0.918,0.053,8
6183,045344-693731,04:53:44.83,-69:37:31.1,,,,,,,,,,,51.0,1.7,36.7,3.7,,,12.7,1.3,,,6.22,0.75,,,,,-0.891,0.061,4
6184,045347-645751,04:53:47.88,-64:57:51.8,,,,,,,,,,,6.0,1.1,3.92,0.55,,,,,,,,,,,,,-0.84,0.70,2
6185,045350-635336,04:53:50.04,-63:53:37.0,,,,,,,,,,,9.1,1.3,2.95,0.43,,,,,,,,,,,,,-2.23,0.66,2
6186,045406-645147,04:54:06.65,-64:51:47.9,,,,,,,,,,,17.2,1.3,9.14,0.95,,,,,,,,,,,,,-1.25,0.44,2
6187,045408-694941,04:54:08.57,-69:49:41.9,,,,,,,,,,,31.5,1.3,18.5,1.9,,,,,,,,,,,,,-1.05,0.29,2
6188,045409-693230,04:54:09.41,-69:32:30.8,,,,,240,62,221,41,,,48.0,1.7,32.2,3.2,,,10.3,1.0,,,5.99,0.86,,,,,-0.93,0.24,6
6189,045409-694737,04:54:09.89,-69:47:37.0,640,150,498,69,426,47,,,,,55.6,1.9,34.3,3.4,,,9.42,0.98,,,,,,,,,-1.08,0.22,6
6190,045412-743715,04:54:12.55,-74:37:14.9,,,,,,,,,,,14.6,1.1,,,,,,,,,,,,,,,,,
6191,045416-743443,04:54:16.51,-74:34:44.1,,,,,,,,,,,12.1,1.1,,,,,,,,,,,,,,,,,
6192,062631-731240,06:26:31.61,-73:12:40.7,558,72,470,28,408,17,344,13,,,121.0,5.0,74.9,7.5,31.0,6.0,,,,,,,,,,,-0.73,0.16,7
6193,060337-714132,06:03:37.37,-71:41:32.3,323,78,257,31,236,22,188,15,,,50.7,3.8,30.9,3.1,,,,,,,,,,,,,-0.86,0.27,6
6194,045422-633843,04:54:22.30,-63:38:43.1,,,,,,,,,,,10.5,1.2,4.68,0.52,,,,,,,,,,,,,-1.59,0.55,2
6195,045427-625117,04:54:27.36,-62:51:17.6,,,,,,,,,,,14.5,1.8,,,,,,,,,,,,,,,,,
6196,045439-742116,04:54:39.96,-74:21:16.2,,,,,91,19,89,16,,,6.50,0.80,4.12,0.45,,,,,,,,,,,,,-1.54,0.34,4
6197,045444-743319,04:54:44.88,-74:33:19.4,,,,,,,,,,,10.8,1.3,,,,,,,,,,,,,,,,,
6198,045449-642431,04:54:49.75,-64:24:31.7,,,,,,,,,,,18.1,2.6,16.0,1.7,,,,,,,,,,,,,-0.25,0.84,2
6199,045458-681514,04:54:58.22,-68:15:14.4,,,,,,,,,,,14.3,1.0,7.20,0.75,,,2.21,0.41,,,,,,,,,-1.05,0.12,3
6200,045511-735808,04:55:11.81,-73:58:08.0,,,,,,,,,,,,,2.83,0.33,,,,,,,,,,,,,,,
6201,045517-631529,04:55:17.40,-63:15:29.9,,,,,,,,,,,9.30,0.80,5.62,0.56,,,,,,,,,,,,,-0.99,0.51,2
6202,045519-723844,04:55:19.92,-72:38:44.9,,,,,,,,,,,,,4.23,0.46,,,,,,,,,,,,,,,
6203,045520-660706,04:55:20.71,-66:07:06.2,,,,,,,,,,,,,2.14,0.22,,,,,,,,,,,,,,,
6204,053704-722904,05:37:04.27,-72:29:04.9,,,175,36,162,20,143,15,,,67.0,3.3,45.9,4.6,,,,,,,,,,,,,-0.55,0.26,5
6205,045529-682530,04:55:29.33,-68:25:30.4,,,,,,,,,,,,,6.74,0.69,,,,,,,,,,,,,,,
6206,045532-693542,04:55:32.83,-69:35:42.4,,,,,349,47,338,32,,,91.2,2.9,55.8,5.6,,,13.1,1.3,,,5.91,0.68,,,,,-1.02,0.14,6
6207,045538-625414,04:55:38.45,-62:54:14.8,346,45,329,24,308,15,210,12,,,86.7,3.8,,,,,,,,,,,,,,,-0.65,0.23,5
6208,045544-744205,04:55:44.88,-74:42:05.0,,,,,,,,,,,10.0,1.4,,,,,,,,,,,,,,,,,
6209,045558-715926,04:55:58.73,-71:59:26.2,,,,,,,,,,,,,1.66,0.17,,,,,,,,,,,,,,,
6210,045605-665111,04:56:05.40,-66:51:11.5,,,,,,,,,,,44.5,1.6,36.3,3.6,,,10.4,1.0,,,3.64,0.40,,,,,-1.061,0.050,4
6211,045606-655846,04:56:06.82,-65:58:46.9,,,,,,,,,,,,,3.74,0.52,,,,,,,,,,,,,,,
6212,045608-643921,04:56:08.88,-64:39:22.0,,,,,,,,,,,9.3,1.2,5.01,0.56,,,,,,,,,,,,,-1.22,0.59,2
6213,045611-680939,04:56:11.98,-68:09:39.6,,,,,,,,,,,9.40,0.90,6.50,0.69,,,1.94,0.20,,,,,,,,,-0.91,0.10,3
6214,045614-702553,04:56:14.76,-70:25:53.4,,,356,48,262,27,190,20,,,44.4,2.6,23.0,2.3,,,5.24,0.67,,,,,,,,,-1.12,0.14,6
6215,053254-723154,05:32:54.24,-72:31:54.8,2414,60,2072,25,1812,17,1538,13,900,50,549,16,311,31,92.0,8.0,,,,,,,,,,,-0.810,0.077,8
6216,045618-684949,04:56:18.94,-68:49:49.8,,,,,236,23,211,17,,,80.6,2.6,51.5,5.2,,,18.9,1.9,,,9.26,0.97,,,,,-0.791,0.096,6
6217,045621-671302,04:56:21.65,-67:13:03.0,600,110,439,42,353,25,260,24,,,40.5,1.6,22.7,2.3,,,3.49,0.52,,,,,,,,,-1.28,0.15,7
6218,045622-682509,04:56:22.68,-68:25:09.5,,,,,,,,,,,,,2.94,0.35,,,,,,,,,,,,,,,
6219,045630-672252,04:56:30.79,-67:22:52.0,,,,,,,,,,,14.0,1.1,8.68,0.91,,,2.39,0.31,,,,,,,,,-1.01,0.11,3
6220,045631-742336,04:56:31.56,-74:23:36.6,,,,,,,,,,,10.9,1.2,7.02,0.73,,,,,,,,,,,,,-0.87,0.53,2
6221,045634-630048,04:56:34.18,-63:00:49.0,,,,,,,,,,,14.5,1.2,6.85,0.73,,,,,,,,,,,,,-1.48,0.46,2
6222,045634-693742,04:56:34.87,-69:37:42.2,,,,,,,,,,,19.5,1.3,28.6,3.2,,,3.60,0.37,,,,,,,,,-1.098,0.097,3
6223,045643-635832,04:56:43.42,-63:58:32.2,,,,,,,,,,,7.9,1.1,3.98,0.44,,,,,,,,,,,,,-1.35,0.58,2
6224,045646-681436,04:56:46.51,-68:14:35.9,,,,,,,,,,,14.0,1.0,6.49,0.65,,,,,,,,,,,,,-1.52,0.37,2
6225,045655-681257,04:56:55.25,-68:12:57.6,,,193,39,161,21,166,24,,,20.2,1.0,7.93,0.79,,,1.75,0.47,,,,,,,,,-1.33,0.18,6
6226,061024-711914,06:10:24.14,-71:19:14.9,1004,74,864,29,820,17,782,13,,,458,14,289,29,155,10,,,,,,,,,,,-0.46,0.10,7
6227,045706-691211,04:57:06.43,-69:12:11.9,,,,,,,,,,,,,31.1,4.2,,,1.75,0.18,,,,,,,,,-2.31,0.26,2
6228,045708-713047,04:57:08.64,-71:30:47.2,,,,,,,,,,,8.30,0.80,5.26,0.53,,,,,,,,,,,,,-0.90,0.52,2
6229,045712-671550,04:57:12.36,-67:15:50.0,,,,,,,,,,,10.7,1.1,4.90,0.63,,,,,,,,,,,,,-1.54,0.54,2
6230,045715-634939,04:57:15.79,-63:49:40.1,,,,,,,,,,,20.5,1.0,13.4,1.4,,,,,,,,,,,,,-0.83,0.30,2
6231,045720-673450,04:57:20.98,-67:34:50.1,,,,,,,,,,,,,3.30,0.40,,,,,,,,,,,,,,,
6232,045720-734016,04:57:20.71,-73:40:16.7,,,,,,,,,,,9.9,1.8,2.85,0.36,,,,,,,,,,,,,-2.46,0.84,2
6233,045722-742604,04:57:22.10,-74:26:04.2,,,,,,,,,,,9.5,1.3,2.08,0.21,,,,,,,,,,,,,-3.00,0.61,2
6234,045726-660257,04:57:26.40,-66:02:57.8,,,,,,,,,,,,,2.50,0.43,,,,,,,,,,,,,,,
6235,045731-625747,04:57:31.15,-62:57:47.5,,,,,,,,,,,9.20,0.90,,,,,,,,,,,,,,,,,
6236,045735-633642,04:57:35.38,-63:36:42.5,,,,,,,,,,,7.50,0.90,3.70,0.43,,,,,,,,,,,,,-1.40,0.50,2
6237,045633-730710,04:56:33.55,-73:07:10.2,,,235,27,215,16,243,14,,,135.5,4.2,90.2,9.0,,,,,,,,,,,,,-0.38,0.16,5
6238,045742-691445,04:57:42.19,-69:14:45.6,,,,,,,,,,,7.80,0.90,8.7,1.0,,,,,,,,,,,,,0.21,0.55,2
6239,045746-691935,04:57:46.80,-69:19:35.8,1100,140,848,70,660,42,465,31,,,125.6,3.9,71.1,7.1,30.0,7.0,19.3,1.9,,,7.85,0.84,,,,,-1.01,0.11,8
6240,045747-624406,04:57:47.35,-62:44:06.0,,,,,,,,,,,16.0,1.3,,,,,,,,,,,,,,,,,
6241,045747-671102,04:57:47.88,-67:11:02.0,,,,,,,,,,,8.6,1.0,2.69,0.28,,,,,,,,,,,,,-2.30,0.50,2
6242,045747-691614,04:57:47.76,-69:16:14.9,,,,,,,,,,,14.7,1.0,8.94,0.95,,,,,,,,,,,,,-0.98,0.39,2
6243,045756-731529,04:57:56.66,-73:15:29.9,,,,,,,,,,,7.50,0.80,4.58,0.51,,,,,,,,,,,,,-0.97,0.45,2
6244,045757-713243,04:57:57.24,-71:32:43.8,,,,,,,74,18,,,19.5,2.0,13.5,1.4,,,3.61,0.45,,,,,,,,,-0.94,0.33,4
6245,045759-625733,04:57:59.42,-62:57:33.8,,,,,89,18,63,14,,,14.0,1.0,,,,,,,,,,,,,,,-1.08,0.43,3
