,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
4254,055243-725654,05:52:43.15,-72:56:54.6,,,,,,,,,,,,,1.81,0.19,,,,,,,,,,,,,,,
4255,055245-732002,05:52:45.26,-73:20:02.0,,,,,,,,,,,,,3.29,0.37,,,,,,,,,,,,,,,
4256,055253-645651,05:52:53.90,-64:56:51.4,,,,,,,,,,,,,4.10,0.45,,,,,,,,,,,,,,,
4257,055254-683951,05:52:54.77,-68:39:51.5,,,,,,,,,,,,,4.28,0.66,,,,,,,,,,,,,,,
4258,055256-674624,05:52:56.26,-67:46:24.6,,,,,,,,,,,,,2.96,0.45,,,,,,,,,,,,,,,
4259,055259-741934,05:52:59.88,-74:19:34.7,,,,,,,,,,,,,5.68,0.59,,,,,,,,,,,,,,,
4260,055301-650458,05:53:01.32,-65:04:58.1,,,,,,,,,,,,,5.12,0.55,,,,,,,,,,,,,,,
4261,043607-683135,04:36:07.66,-68:31:35.8,,,,,,,,,,,15.20,0.90,8.56,0.88,,,,,,,,,,,,,-1.13,0.33,2
4262,055306-685443,05:53:06.05,-68:54:43.9,,,,,,,,,,,,,2.76,0.38,,,,,,,,,,,,,,,
4263,055307-724735,05:53:07.18,-72:47:35.5,,,,,,,,,,,,,3.99,0.48,,,,,,,,,,,,,,,
4264,055311-644548,05:53:11.57,-64:45:48.2,,,,,,,,,,,,,4.08,0.50,,,,,,,,,,,,,,,
4265,055313-730657,05:53:13.37,-73:06:57.2,,,,,,,,,,,,,5.46,0.59,,,,,,,,,,,,,,,
4266,055315-652719,05:53:15.31,-65:27:19.4,,,,,,,,,,,,,1.81,0.19,,,,,,,,,,,,,,,
4267,055321-664604,05:53:21.60,-66:46:04.8,,,,,,,,,,,,,1.58,0.16,,,,,,,,,,,,,,,
4268,055325-702423,05:53:25.78,-70:24:23.8,,,,,,,,,,,,,5.01,0.75,,,,,,,,,,,,,,,
4269,055328-630201,05:53:28.94,-63:02:01.7,,,,,,,,,,,,,6.34,0.71,,,,,,,,,,,,,,,
4270,055329-635421,05:53:29.06,-63:54:21.2,,,,,,,,,,,,,4.18,0.42,,,,,,,,,,,,,,,
