# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  045042-713719    04:50:42.50   -71:37:19.2   ...             ...              ...             ...              128             22               125             14               ...           ...            45.5           1.6             30.9          3.1            ...         ...          11.3         1.2           ...           ...            4.76         0.50          ...           ...            ...           ...            -0.80    0.14        6        
  045103-641844    04:51:03.70   -64:18:44.3   440             47               406             23               368             15               276             12               ...           ...            89.7           2.9             56.7          5.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.77    0.13        6        
  045111-634417    04:51:11.86   -63:44:17.2   ...             ...              ...             ...              316             12               255             11               ...           ...            73.8           3.7             47.2          4.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.868   0.094       4        
  045115-640218    04:51:15.07   -64:02:18.2   670             41               561             20               486             12               407             12               ...           ...            121.8          3.8             77.0          7.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.798   0.083       6        
  045120-670954    04:51:21.00   -67:09:54.7   ...             ...              ...             ...              ...             ...              83              16               ...           ...            32.3           1.5             19.2          1.9            ...         ...          5.97         0.64          ...           ...            ...          ...           ...           ...            ...           ...            -0.83    0.27        4        
  045122-645333    04:51:22.32   -64:53:33.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.4            1.1             10.5          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            0.98     0.63        2        
  045133-731935    04:51:33.53   -73:19:35.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.50          0.80            9.07          0.92           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.79    0.32        2        
  045153-654006    04:51:53.42   -65:40:07.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.6           1.1             8.09          0.83           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.71    0.47        2        
  051204-732431    05:12:04.75   -73:24:31.3   303             57               314             29               266             18               238             14               ...           ...            47.3           1.8             28.8          2.9            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.93    0.21        6        
  044250-705846    04:42:50.23   -70:58:46.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.9            1.3             4.26          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.22    0.68        2        
  045157-654642    04:51:57.84   -65:46:42.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.1            1.2             4.41          0.48           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.94    0.67        2        
  045202-712906    04:52:02.86   -71:29:06.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.10          0.61           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  045221-682306    04:52:21.14   -68:23:06.4   772             79               666             33               586             18               ...             ...              ...           ...            177.2          5.4             ...           ...            66.0        7.0          46.3         4.6           ...           ...            20.5         2.1           ...           ...            ...           ...            -0.730   0.079       6        
  045305-624243    04:53:05.06   -62:42:42.8   ...             ...              2419            26               1846            15               1459            12               900           30             483            16              ...           ...            92.0        8.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.87    0.10        6        
  045351-743450    04:53:51.50   -74:34:50.9   ...             ...              172             38               211             33               102             22               ...           ...            25.0           1.2             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.07    0.39        4        
  045357-712047    04:53:57.48   -71:20:47.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.7            1.2             3.54          0.41           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.99    0.57        2        
  045743-661526    04:57:43.63   -66:15:25.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             10.7          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  045756-635417    04:57:55.99   -63:54:18.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.40          0.90            5.70          0.57           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.19    0.40        2        
  045757-635220    04:57:57.14   -63:52:20.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            16.8           1.3             7.89          0.82           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.49    0.45        2        
  045905-635156    04:59:05.50   -63:51:56.9   292             49               268             21               236             12               187             12               ...           ...            72.5           2.3             45.7          4.6            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.69    0.18        6        
