# Name            20cm_box   20cm_blended   20cm_dbl_ext   20cm_confused   MACHO_det   WISE_det   MCELS_det   Koz1_det   Koz3_det   SixDf_det  
  042322-670737   false      false          false          false           false       false      false       false      false      false      
  042322-681646   false      false          false          false           false       false      false       false      false      false      
  042322-732627   true       false          false          false           false       true       false       false      false      false      
  042323-704454   true       false          false          false           false       false      false       false      false      false      
  042326-701252   true       false          false          false           false       false      false       false      false      false      
  042328-721227   true       false          false          false           false       false      false       false      false      false      
  042333-704731   true       false          false          false           false       false      false       false      false      false      
  042334-741303   false      false          false          false           false       false      false       false      false      false      
  042336-694607   true       false          false          false           false       false      false       false      false      false      
  042337-730827   true       false          false          false           false       false      false       false      false      false      
  042343-674817   false      false          false          false           false       false      false       false      false      false      
  042343-720300   true       false          false          false           false       false      false       false      false      false      
  042347-735737   true       false          false          false           false       false      false       false      false      false      
  042348-724412   true       true           true           false           false       false      false       false      false      false      
  042358-732034   true       false          true           false           false       false      false       false      false      false      
  042401-724719   true       true           true           false           false       false      false       false      false      false      
  042404-700940   true       false          false          false           false       false      false       false      false      false      
  042405-721913   true       false          false          false           false       false      false       false      false      false      
  042407-712750   true       false          false          false           false       false      false       false      false      false      
  042410-704808   true       false          false          false           false       false      false       false      false      false      
  042412-715631   true       false          false          false           false       false      false       false      false      false      
  042415-692118   true       false          false          false           false       false      false       false      false      false      
  042417-711155   true       false          false          false           false       false      false       false      false      false      
  042418-735619   true       false          false          false           false       false      false       false      false      false      
  042418-683535   true       false          false          false           false       true       false       false      false      false      
  042419-683004   true       false          false          false           false       false      false       false      false      false      
  042423-701517   true       false          false          false           false       true       false       false      false      false      
  042426-692405   true       false          false          false           false       false      false       false      false      false      
  042430-742340   false      true           true           false           false       false      false       false      false      false      
  042434-724236   true       false          false          false           false       false      false       false      false      false      
  042436-713920   true       false          false          false           false       false      false       false      false      false      
  042437-685113   true       false          false          false           false       false      false       false      false      false      
  042437-682805   true       false          false          false           false       false      false       false      false      false      
  042438-682610   true       false          false          false           false       false      false       false      false      false      
  042440-734409   true       false          false          false           false       false      false       false      false      false      
  042442-725045   true       false          false          false           false       false      false       false      false      false      
  042447-695537   true       false          false          false           false       true       false       false      false      false      
  042450-733757   true       false          false          false           false       false      false       false      false      false      
  042456-715618   true       false          false          false           false       false      false       false      false      false      
  042458-683944   true       false          false          false           false       false      false       false      false      false      
  042458-711149   true       false          false          false           false       true       false       false      false      false      
  042459-691059   true       false          false          false           false       true       false       false      false      false      
  042459-731053   true       false          false          false           false       false      false       false      false      false      
  042500-681644   true       false          false          false           false       false      false       false      false      false      
  042501-724701   true       false          false          false           false       true       false       false      false      false      
  042506-664650   false      false          false          false           false       false      false       false      false      false      
  042507-732419   true       false          true           false           false       false      false       false      false      false      
  042509-721320   true       false          false          false           false       false      false       false      false      false      
  042512-680737   true       false          false          false           false       false      false       false      false      false      
  042519-690753   true       false          false          false           false       false      false       false      false      false      
  042519-693450   true       false          false          false           false       true       false       false      false      false      
  042520-713609   true       false          false          false           false       false      false       false      false      false      
  042521-680031   true       false          false          false           false       true       false       false      false      false      
  042521-705533   true       false          false          false           false       false      false       false      false      false      
  042521-681203   true       false          true           false           false       false      false       false      false      false      
  042524-733658   true       false          false          false           false       false      false       false      false      false      
  042525-675850   true       false          false          false           false       false      false       false      false      false      
  042529-735341   true       false          false          false           false       true       false       false      false      false      
  042529-702823   true       false          false          false           false       false      false       false      false      false      
  042531-723324   true       false          false          false           false       false      false       false      false      false      
  042532-665149   false      false          false          false           false       false      false       false      false      false      
