# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  195    044529-733151   04:45:27.77   -73:31:52.09   4.6          0.9              7.0          2.0              0.89      
  196    044532-661429   04:45:31.96   -66:14:29.21   12.0         1.0              15.0         1.0              1.02      
  197    044534-655933   04:45:32.87   -65:59:11.35   4.3          0.8              7.0          2.0              0.82      
  198    044534-662540   04:45:33.82   -66:25:41.11   34.0         1.0              42.0         1.0              1.02      
  199    044537-685946   04:45:36.33   -68:59:45.54   11.8         0.8              18.0         1.0              0.89      
  200    044541-691220   04:45:39.72   -69:12:23.38   30.1         0.8              38.0         1.0              0.89      
  201    044544-652209   04:45:43.55   -65:22:08.69   11.1         0.9              14.0         1.0              0.91      
  202    044545-735958   04:45:43.19   -73:59:54.39   12.0         1.0              13.0         2.0              1.43      
  203    044550-723725   04:45:50.10   -72:37:30.34   3.2          0.7              5.0          1.0              0.67      
  204    044552-732706   04:45:51.45   -73:27:07.49   20.5         0.9              23.0         1.0              0.89      
  205    044552-685635   04:45:51.74   -68:56:31.52   7.5          0.9              10.0         1.0              0.89      
  206    044557-682644   04:45:57.02   -68:26:39.99   21.6         0.8              27.0         1.0              0.88      
  207    044558-661732   04:45:57.87   -66:17:34.11   16.0         1.0              21.0         1.0              0.88      
  208    044559-653509   04:45:58.29   -65:35:25.10   6.7          0.8              9.0          1.0              0.81      
  209    044601-673211   04:46:00.72   -67:32:09.39   6.9          0.8              9.0          1.0              0.84      
  210    044602-723404   04:46:01.44   -72:34:02.06   18.8         0.6              22.3         0.8              0.67      
  211    044604-705005   04:46:02.95   -70:50:00.80   8.0          1.0              11.0         1.0              1.07      
  212    044605-664436   04:46:04.57   -66:44:35.32   7.2          0.7              11.0         1.0              0.78      
  213    044606-694744   04:46:07.69   -69:47:52.49   4.5          0.7              6.0          1.0              0.73      
  214    044611-720511   04:46:10.57   -72:05:10.34   267.2        0.7              327.4        0.8              0.68      
  215    044614-645247   04:46:13.89   -64:52:46.49   27.0         1.0              32.0         1.0              1.24      
  216    044614-682246   04:46:13.84   -68:22:46.02   5.3          0.9              6.0          1.0              0.88      
  217    044618-722518   04:46:17.74   -72:25:24.50   3.7          0.7              6.0          1.0              0.67      
  218    044622-710212   04:46:21.14   -71:02:11.73   15.0         1.0              19.0         1.0              0.92      
  219    044623-710214   04:46:33.05   -71:02:51.78   7.0          1.0              14.0         2.0              0.92      
  220    044625-661300   04:46:25.07   -66:12:52.72   4.5          0.8              5.0          0.8              0.88      
  221    044626-732529   04:46:25.87   -73:25:24.97   7.1          0.9              10.0         1.0              0.9       
  222    044627-681807   04:46:25.51   -68:18:11.55   9.4          0.8              15.0         1.0              0.88      
  223    044629-693102   04:46:28.36   -69:31:03.91   16.8         0.8              22.0         1.0              0.88      
  224    044630-693232   04:46:29.41   -69:32:34.89   9.0          0.8              11.0         1.0              0.88      
  225    044631-671953   04:46:31.14   -67:19:56.20   6.6          0.6              13.0         1.0              0.72      
  226    044632-652751   04:46:32.04   -65:27:48.29   5.0          0.9              7.0          1.0              0.91      
  227    044634-675856   04:46:34.39   -67:58:59.16   4.5          0.8              7.0          2.0              0.83      
  228    044652-675823   04:46:50.99   -67:58:23.73   7.5          0.8              11.0         1.0              0.83      
  229    044654-684242   04:46:53.40   -68:42:41.05   16.5         0.8              20.0         1.0              0.87      
  230    044701-690150   04:46:59.87   -69:01:53.11   4.5          0.8              5.0          0.8              0.89      
  231    044706-665422   04:47:05.42   -66:54:26.07   3.5          0.6              4.0          0.6              0.7       
  232    044710-673351   04:47:09.56   -67:33:49.16   4.3          0.8              5.0          1.0              0.8       
  233    044710-675049   04:47:09.98   -67:50:49.02   55.5         0.8              70.0         1.0              0.8       
  234    044712-730638   04:47:11.21   -73:06:34.26   7.0          0.9              8.0          1.0              0.89      
  235    044717-730906   04:47:18.31   -73:08:55.51   5.5          0.9              8.0          2.0              0.89      
  236    044723-702841   04:47:23.39   -70:28:44.35   5.6          0.8              8.0          1.0              0.87      
  237    044724-691546   04:47:22.32   -69:15:41.43   38.0         1.0              66.0         2.0              1.14      
  238    044725-671552   04:47:25.36   -67:15:50.31   26.4         0.7              35.0         1.0              0.72      
  239    044730-711809   04:47:28.75   -71:18:06.56   3.8          0.7              4.3          0.7              0.74      
  240    044735-661438   04:47:34.01   -66:14:36.59   22.3         0.8              30.0         1.0              0.88      
  241    044735-661858   04:47:35.98   -66:18:42.97   7.5          0.8              14.0         2.0              0.88      
  242    044735-665032   04:47:35.89   -66:50:20.69   13.9         0.7              21.0         1.0              0.78      
  243    044738-665627   04:47:37.99   -66:56:25.67   11.4         0.7              15.1         0.9              0.7       
  244    044743-683002   04:47:43.02   -68:30:00.29   5.1          0.9              7.0          1.0              0.88      
  245    044745-711143   04:47:45.19   -71:11:42.44   11.4         0.9              15.0         1.0              0.97      
  246    044745-725429   04:47:44.48   -72:54:27.79   41.9         0.7              49.0         0.8              0.69      
  247    044746-704843   04:47:46.15   -70:48:41.92   121.0        1.0              148.0        2.0              1.07      
  248    044750-693908   04:47:47.80   -69:39:07.30   8.5          0.9              10.0         1.0              0.97      
  249    044801-675305   04:48:01.14   -67:53:07.13   13.4         0.8              16.0         1.0              0.83      
  250    044804-645210   04:48:03.07   -64:52:12.57   7.0          1.0              9.0          2.0              1.24      
  251    044806-731033   04:48:05.40   -73:10:31.00   19.8         0.9              22.0         1.0              0.89      
  252    044807-661940   04:48:07.09   -66:19:40.30   5.5          0.8              9.0          2.0              0.88      
  253    044809-703142   04:48:09.39   -70:31:44.08   22.4         0.8              29.0         1.0              0.87      
  254    044815-715823   04:48:13.52   -71:58:27.61   4.5          0.6              9.0          1.0              0.68      
  255    044831-655359   04:48:31.13   -65:53:59.76   23.3         0.7              27.8         0.9              0.74      
  256    044834-724912   04:48:33.39   -72:49:11.62   28.3         0.7              36.2         0.9              0.69      
  257    044834-661721   04:48:34.51   -66:17:21.77   14.0         0.8              19.0         1.0              0.88      
  258    044835-713903   04:48:34.17   -71:39:00.61   7.1          0.6              9.0          0.8              0.6       
  259    044840-654109   04:48:40.14   -65:41:05.71   18.2         0.7              26.0         1.0              0.78      
  260    044844-735147   04:48:43.38   -73:51:44.28   61.0         1.0              77.0         2.0              1.21      
  261    044854-690941   04:48:54.86   -69:09:45.27   7.0          1.0              11.0         3.0              1.31      
  262    044855-692941   04:48:55.26   -69:29:34.86   9.0          1.0              10.0         1.0              1.14      
  263    044901-663334   04:49:01.10   -66:33:30.96   18.5         0.8              25.0         1.0              0.81      
  264    044903-705206   04:49:02.23   -70:52:04.15   496.0        1.0              621.0        2.0              1.54      
  265    044905-655912   04:49:04.35   -65:59:11.87   22.8         0.7              26.0         0.8              0.74      
  266    044923-675029   04:49:22.71   -67:50:31.22   8.3          0.8              12.0         1.0              0.8       
  267    044927-681452   04:49:26.66   -68:14:53.42   6.8          0.8              10.0         1.0              0.87      
  268    044928-692633   04:49:27.78   -69:26:30.93   29.0         1.0              36.0         1.0              1.14      
  269    044931-701850   04:49:32.03   -70:18:56.27   5.0          1.0              6.0          1.0              0.98      
