`Flux`/`Peak`,lin_slope
1.0794700614339827,-1.19245
1.06804739010338,-1.06287
1.8692810250635339,-1.04921
1.3600000484287749,-1.98578
1.3709678800348315,-2.44073
1.0297618552655927,-1.35399
1,-1.52061
1.2666666770146953,-1.09279
1.0935252242025149,-1.088
1.060833811110929,-1.28308
1,-1.30166
1.0693780066345817,-1.02136
1.1481481225974608,-1.08986
1.9508196020504365,-3.29965
1.5245901989747819,-1.39118
1.1744186273172064,-1.40048
1.0326679576950337,-1.04077
1.1153846613078204,-1.66139
1.1622807633839232,-1.15099
1.1142857161863726,-1.78691
1.175000011641532,-1.79115
1,-1.41272
1.1232876502610798,-1.26935
1,-1.08539
1.506172771371007,-1.70934
1.1104972500772843,-1.0828
1.1534090428035857,-1.20054
1.3816199047950406,-1.34462
1,-1.27904
1.584732952417179,-1.08781
1.531335224265019,-1.10314
1.2172131316485555,-1.10857
1.0382353577096857,-1.00322
1.2205127279316434,-1.2001
1,-1.51535
1.227710936492236,-1.04241
1.4283464193684114,-1.61483
1.2968749181454808,-2.07639
1.1729323903213595,-1.09653
1.4269663097712901,-2.1801
1.072916636350178,-1.14944
1.255813943414575,-1.20465
1,-1.34008
1.010852666435872,-1.22898
1.1030928072608601,-1.06861
1.8615384130435593,-2.31179
2.0975608057075683,-1.05857
1.2164949720579206,-1.03606
